"us_cit","disability","gender","black","marriage_sit","education","birth_12m","native_eng","worker_type","earnings","hours","children","age","fullownership"
"yes","not disabled","male","non-black","Separated/divorced",17,"no","yes","private, profit",62000,40,0,59,"no"
"no","not disabled","male","non-black","married",23,"no","yes","private, profit",574000,60,0,54,"yes"
"yes","not disabled","female","non-black","married",22,"no","yes","public",125000,40,2,43,"no"
"yes","not disabled","male","non-black","Separated/divorced",20,"no","yes","self_employed",135000,60,0,56,"no"
"no","not disabled","male","non-black","never married",16,"no","no","private, non profit",40000,40,0,30,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",70000,5,3,44,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","public",87000,40,3,36,"no"
"no","not disabled","female","non-black","married",16,"no","no","private, profit",24000,35,0,56,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",23000,35,0,48,"yes"
"yes","not disabled","female","non-black","Separated/divorced",20,"no","yes","private, profit",38000,40,0,59,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",115000,50,0,43,"yes"
"yes","not disabled","female","non-black","married",17,"no","yes","public",30000,40,0,46,"no"
"yes","not disabled","female","non-black","Separated/divorced",16,"no","yes","private, non profit",62000,40,0,53,"no"
"yes","not disabled","female","non-black","married",18,"no","yes","private, profit",78000,40,0,62,"yes"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",18300,30,0,28,"no"
"no","not disabled","female","non-black","married",20,"no","no","public",75000,37,2,39,"no"
"yes","not disabled","female","non-black","married",21,"yes","yes","private, non profit",24000,12,3,37,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",100000,84,0,46,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",58000,32,0,65,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","public",15500,54,0,38,"yes"
"yes","not disabled","male","non-black","Separated/divorced",20,"no","yes","self_employed",2000,40,3,41,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","private, profit",175000,45,0,52,"no"
"yes","not disabled","female","non-black","married",22,"yes","yes","private, profit",60000,40,1,32,"no"
"no","not disabled","male","non-black","married",18,"no","yes","private, profit",11300,20,0,48,"no"
"no","not disabled","female","non-black","married",17,"no","no","private, profit",24400,40,0,54,"yes"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",60000,47,5,40,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",22000,24,0,30,"yes"
"yes","not disabled","male","non-black","married",21,"no","yes","public",110000,40,7,47,"no"
"yes","not disabled","female","non-black","never married",20,"no","no","private, profit",30000,40,0,28,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",65000,40,3,42,"no"
"yes","not disabled","female","black","never married",20,"no","yes","private, profit",7000,30,0,25,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",44800,30,0,47,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",54000,45,0,66,"no"
"yes","not disabled","male","non-black","never married",22,"no","yes","private, profit",100000,40,0,38,"no"
"no","not disabled","male","black","never married",22,"no","yes","private, profit",10000,20,0,29,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","public",115000,45,0,54,"no"
"yes","not disabled","female","non-black","never married",15,"no","yes","private, profit",60000,52,0,34,"yes"
"yes","not disabled","female","black","married",21,"no","no","public",45000,40,1,32,"no"
"yes","not disabled","female","black","never married",16,"no","yes","private, profit",20000,40,0,25,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, non profit",30000,40,1,32,"no"
"yes","not disabled","male","non-black","married",14,"no","no","private, profit",20000,40,4,37,"no"
"no","not disabled","female","non-black","married",16,"no","no","private, profit",51000,40,0,64,"no"
"no","not disabled","male","non-black","married",14,"no","no","private, profit",45000,40,1,48,"yes"
"yes","not disabled","male","non-black","never married",20,"no","yes","private, profit",46700,40,0,32,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",95000,45,0,57,"no"
"no","not disabled","female","non-black","married",15,"no","no","public",12000,8,0,26,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",100000,40,0,62,"no"
"yes","disabled","female","non-black","married",18,"no","yes","private, non profit",18000,22,0,67,"yes"
"no","not disabled","male","non-black","married",24,"no","no","private, profit",170000,40,0,45,"no"
"no","not disabled","female","non-black","married",22,"no","no","private, non profit",45000,45,2,39,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",32000,36,0,41,"no"
"yes","not disabled","female","non-black","married",16,"no","no","public",46000,40,0,64,"no"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","private, profit",26000,40,0,64,"no"
"yes","not disabled","male","black","never married",19,"no","yes","public",32000,45,NA,29,"no"
"yes","not disabled","male","non-black","Separated/divorced",22,"no","yes","private, non profit",177000,40,0,49,"no"
"yes","not disabled","male","non-black","never married",22,"no","yes","public",80000,40,0,26,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","public",50000,48,2,38,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",100000,40,1,46,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","private, profit",35600,40,0,64,"no"
"yes","not disabled","female","non-black","married",23,"no","yes","self_employed",50000,40,1,47,"no"
"no","not disabled","female","non-black","married",22,"no","yes","public",70000,40,0,53,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","public",12000,35,0,64,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","public",96000,50,0,66,"yes"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",46000,40,0,26,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","public",24000,40,0,27,"no"
"yes","disabled","female","non-black","never married",21,"no","yes","public",47800,50,0,31,"no"
"no","not disabled","male","non-black","never married",15,"no","no","private, profit",8000,40,3,35,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, non profit",90000,40,0,29,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",48000,37,2,25,"no"
"yes","not disabled","female","black","married",16,"no","yes","private, profit",4000,40,0,45,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","public",35000,40,4,27,"yes"
"yes","not disabled","male","non-black","married",23,"no","yes","self_employed",60000,30,0,63,"yes"
"yes","not disabled","male","non-black","married",22,"no","yes","public",161000,50,0,63,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","self_employed",10000,60,0,43,"no"
"yes","not disabled","male","non-black","never married",17,"no","yes","private, profit",45000,48,0,52,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, non profit",45000,33,2,33,"no"
"yes","not disabled","male","non-black","Separated/divorced",24,"no","no","public",63000,50,0,45,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",85000,40,0,58,"yes"
"yes","not disabled","male","non-black","married",15,"no","yes","private, profit",44000,40,3,37,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",300000,40,2,41,"no"
"no","not disabled","female","non-black","married",21,"no","yes","public",60000,40,0,34,"no"
"yes","not disabled","female","black","never married",19,"no","yes","private, profit",9000,40,0,33,"no"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",163000,40,0,58,"no"
"yes","not disabled","male","non-black","married",24,"no","yes","public",275000,60,2,44,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","public",85000,40,0,34,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",55000,40,0,27,"no"
"yes","not disabled","male","black","married",22,"no","yes","private, profit",52000,58,3,42,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",95000,40,2,35,"no"
"no","not disabled","male","non-black","never married",19,"no","yes","private, profit",48400,40,0,38,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",86000,40,2,48,"no"
"yes","disabled","male","non-black","married",19,"no","yes","private, profit",47000,43,0,31,"no"
"no","not disabled","female","non-black","widowned",18,"no","no","public",50000,40,0,62,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","private, profit",80000,20,0,60,"no"
"yes","not disabled","male","non-black","Separated/divorced",19,"no","yes","private, profit",160000,40,0,51,"no"
"yes","not disabled","male","non-black","married",15,"no","yes","private, profit",36000,40,2,35,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","public",39000,40,0,60,"no"
"yes","not disabled","male","black","never married",19,"no","yes","public",55000,40,0,27,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",50000,40,0,61,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","public",150,7,0,66,"yes"
"yes","not disabled","male","non-black","never married",16,"no","no","private, profit",80000,40,2,29,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",30000,38,0,26,"yes"
"no","not disabled","female","non-black","married",21,"no","yes","private, profit",60000,40,1,63,"no"
"yes","not disabled","male","non-black","never married",16,"no","no","private, profit",160000,40,0,41,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",71000,20,0,63,"yes"
"yes","not disabled","female","black","never married",16,"no","yes","private, profit",15000,40,0,30,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",160000,50,0,42,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","public",80000,70,1,30,"no"
"no","not disabled","female","non-black","Separated/divorced",21,"no","no","public",12000,28,0,49,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",55000,46,0,43,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",100000,40,2,52,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",152000,40,0,38,"no"
"yes","not disabled","female","non-black","never married",16,"no","yes","public",41200,40,0,25,"no"
"yes","not disabled","female","non-black","never married",16,"no","yes","public",137000,40,1,53,"no"
"no","not disabled","male","non-black","never married",9,"no","no","private, profit",25900,35,0,35,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",60000,45,1,30,"no"
"no","not disabled","male","non-black","never married",21,"no","no","self_employed",40000,50,0,26,"no"
"yes","not disabled","female","non-black","married",21,"yes","yes","private, profit",50000,40,1,31,"yes"
"no","not disabled","male","non-black","never married",21,"no","no","self_employed",29000,40,0,43,"no"
"no","not disabled","female","non-black","married",24,"no","yes","private, profit",180000,50,2,39,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",30000,40,0,59,"yes"
"yes","not disabled","male","non-black","married",22,"no","yes","public",100000,40,3,39,"no"
"no","not disabled","male","non-black","never married",21,"no","no","private, profit",574000,40,0,56,"yes"
"yes","not disabled","female","non-black","Separated/divorced",20,"no","yes","public",45000,50,0,35,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","public",60000,40,1,41,"no"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",39700,32,0,26,"no"
"yes","not disabled","female","black","never married",21,"no","yes","public",5000,40,0,44,"yes"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",55000,40,0,31,"no"
"yes","not disabled","male","black","Separated/divorced",21,"no","yes","private, profit",18600,40,0,54,"no"
"yes","not disabled","female","black","married",21,"no","yes","private, profit",40000,40,3,33,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","public",120000,48,0,54,"yes"
"yes","not disabled","male","non-black","married",19,"no","yes","public",60000,40,2,27,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","public",34000,40,0,31,"no"
"yes","disabled","female","non-black","married",14,"no","yes","private, profit",15000,32,1,40,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","private, profit",65000,45,0,49,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",143000,42,1,49,"no"
"yes","not disabled","male","non-black","married",24,"no","no","private, profit",100000,30,0,65,"no"
"no","not disabled","female","black","married",18,"no","no","private, profit",30000,48,0,59,"yes"
"no","not disabled","female","non-black","never married",21,"no","no","private, profit",165000,50,0,31,"no"
"no","not disabled","male","non-black","married",23,"no","yes","self_employed",80000,60,2,40,"no"
"yes","not disabled","female","black","never married",20,"no","yes","private, profit",1100,25,1,34,"no"
"no","not disabled","male","non-black","married",1,"no","no","private, profit",50000,40,0,49,"yes"
"yes","not disabled","male","non-black","married",24,"no","yes","private, profit",200000,40,1,36,"no"
"yes","not disabled","female","non-black","Separated/divorced",19,"no","yes","private, profit",40000,45,0,43,"no"
"yes","not disabled","male","non-black","never married",17,"no","yes","private, profit",30000,40,3,34,"no"
"yes","not disabled","female","non-black","married",17,"no","yes","private, profit",5000,12,2,40,"no"
"yes","not disabled","female","black","married",21,"no","yes","public",46000,40,0,47,"no"
"yes","not disabled","female","non-black","never married",22,"no","yes","self_employed",124000,50,0,53,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, non profit",59000,40,0,28,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","self_employed",24000,30,0,47,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, non profit",35000,25,2,43,"no"
"yes","not disabled","male","black","Separated/divorced",19,"no","yes","private, profit",120000,40,2,44,"no"
"yes","disabled","male","non-black","never married",21,"no","yes","private, profit",4000,15,0,25,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","self_employed",60000,50,0,65,"yes"
"yes","not disabled","female","non-black","married",20,"no","yes","private, profit",10000,40,0,56,"no"
"no","not disabled","male","black","married",19,"no","yes","private, profit",108000,40,1,50,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",70000,60,0,51,"yes"
"no","not disabled","male","black","married",23,"no","no","self_employed",120000,40,2,46,"no"
"yes","disabled","female","non-black","married",16,"no","yes","private, profit",50000,40,1,63,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, profit",260000,80,1,48,"yes"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",12000,40,0,29,"yes"
"yes","not disabled","male","non-black","married",1,"no","no","private, profit",28000,40,2,46,"yes"
"yes","not disabled","female","non-black","married",16,"no","yes","public",28000,40,0,59,"yes"
"yes","disabled","male","non-black","never married",15,"no","yes","private, profit",20000,22,0,31,"yes"
"yes","not disabled","male","black","never married",16,"no","yes","public",80000,40,NA,30,"no"
"yes","not disabled","male","non-black","married",20,"no","yes","private, profit",125000,45,7,31,"no"
"yes","not disabled","male","black","married",19,"no","yes","private, non profit",75000,40,0,47,"yes"
"yes","disabled","female","black","married",17,"no","yes","public",56000,40,0,54,"no"
"no","not disabled","female","non-black","married",21,"no","no","private, non profit",10000,15,0,32,"no"
"yes","not disabled","female","non-black","Separated/divorced",16,"no","yes","private, profit",12200,48,NA,37,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",64000,43,0,57,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",110000,50,0,30,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",195000,40,0,25,"no"
"yes","not disabled","female","non-black","never married",22,"no","yes","private, non profit",24000,40,NA,58,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",60000,40,0,64,"yes"
"yes","disabled","male","non-black","married",21,"no","yes","self_employed",60000,40,0,62,"no"
"no","not disabled","male","non-black","married",16,"no","no","private, profit",24000,48,3,29,"no"
"no","not disabled","male","non-black","never married",22,"no","no","private, profit",42000,45,NA,27,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","private, profit",60000,32,0,55,"no"
"yes","not disabled","female","non-black","Separated/divorced",16,"no","yes","private, non profit",13000,40,0,49,"yes"
"yes","not disabled","male","black","Separated/divorced",20,"no","yes","public",8000,8,NA,31,"no"
"yes","disabled","female","non-black","never married",22,"no","yes","private, non profit",100000,30,0,60,"yes"
"yes","not disabled","female","non-black","married",16,"no","yes","private, profit",55000,50,0,41,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",160000,50,1,28,"no"
"no","not disabled","female","non-black","married",23,"no","no","private, profit",40000,45,0,52,"no"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","private, profit",19200,30,0,57,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",110000,48,2,38,"yes"
"yes","not disabled","female","non-black","never married",21,"no","no","private, non profit",72000,40,0,29,"no"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",36000,40,1,43,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",65000,40,1,49,"no"
"no","not disabled","female","non-black","married",20,"no","no","private, profit",87000,40,0,35,"yes"
"yes","not disabled","male","non-black","married",19,"no","yes","self_employed",43200,60,2,42,"no"
"yes","disabled","male","black","never married",16,"no","yes","private, non profit",12000,40,2,30,"no"
"yes","not disabled","male","non-black","never married",18,"no","no","public",87000,40,0,33,"no"
"no","not disabled","male","non-black","married",22,"no","no","private, profit",210000,40,3,50,"no"
"yes","not disabled","female","non-black","never married",21,"no","no","private, profit",120000,40,0,28,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",130000,44,2,58,"yes"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",87000,40,0,41,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",199000,45,0,56,"yes"
"yes","disabled","female","non-black","Separated/divorced",19,"no","yes","public",49500,33,NA,58,"no"
"yes","not disabled","male","non-black","married",9,"no","yes","self_employed",40000,47,0,61,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, profit",52000,40,0,28,"no"
"yes","not disabled","female","non-black","never married",18,"no","yes","private, profit",27500,33,0,31,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","public",60000,40,0,40,"no"
"yes","not disabled","female","non-black","Separated/divorced",10,"no","no","private, profit",40000,40,1,47,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",28000,40,0,33,"no"
"yes","not disabled","male","non-black","married",21,"no","no","private, profit",135000,45,3,45,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","self_employed",150000,60,2,43,"no"
"yes","not disabled","female","non-black","married",22,"no","no","public",70000,40,1,48,"no"
"no","not disabled","male","non-black","married",9,"no","no","private, profit",65000,50,2,40,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",24600,40,2,33,"yes"
"no","not disabled","male","non-black","married",21,"no","no","private, profit",60000,40,0,25,"no"
"yes","not disabled","female","non-black","married",15,"no","yes","private, profit",34000,40,0,42,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",135000,50,2,47,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",73000,40,0,62,"no"
"yes","not disabled","male","non-black","married",24,"no","yes","private, profit",684000,60,1,42,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",78000,40,0,32,"no"
"yes","not disabled","male","black","married",16,"no","yes","private, profit",3400,32,0,58,"no"
"yes","not disabled","male","non-black","married",17,"no","no","private, profit",94000,65,2,41,"no"
"yes","not disabled","male","non-black","married",24,"no","yes","self_employed",80000,40,2,49,"no"
"yes","not disabled","male","non-black","never married",17,"no","yes","private, profit",5500,30,0,57,"yes"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","private, profit",350000,72,0,57,"no"
"yes","disabled","male","non-black","never married",19,"no","yes","private, profit",21600,40,NA,54,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, non profit",14500,25,0,64,"no"
"no","not disabled","male","non-black","married",13,"no","no","private, profit",14000,40,NA,33,"no"
"yes","not disabled","male","non-black","never married",18,"no","yes","private, profit",5000,25,0,31,"no"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","public",50000,40,0,48,"no"
"yes","disabled","male","non-black","never married",19,"no","yes","private, profit",17800,35,NA,36,"no"
"no","not disabled","male","non-black","married",21,"no","yes","private, profit",230000,80,2,44,"no"
"yes","not disabled","female","non-black","Separated/divorced",23,"no","yes","public",110000,40,0,49,"yes"
"yes","not disabled","female","black","married",16,"no","yes","public",32500,35,4,38,"no"
"yes","not disabled","female","non-black","married",16,"no","yes","private, non profit",50000,40,2,35,"no"
"no","not disabled","female","non-black","never married",16,"no","yes","private, profit",10000,25,0,26,"yes"
"yes","not disabled","female","non-black","widowned",18,"no","yes","public",24200,35,0,64,"yes"
"no","not disabled","male","black","married",16,"no","no","private, profit",40000,40,0,62,"no"
"no","not disabled","male","non-black","married",22,"no","no","private, profit",130000,50,2,41,"no"
"yes","not disabled","female","non-black","never married",21,"yes","yes","private, profit",45800,40,0,34,"yes"
"yes","not disabled","male","black","never married",20,"no","yes","private, profit",32000,65,NA,31,"no"
"yes","not disabled","female","non-black","married",24,"no","yes","private, profit",110000,50,0,58,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","public",100000,45,4,47,"no"
"no","not disabled","male","non-black","Separated/divorced",1,"no","yes","private, profit",125000,40,0,46,"yes"
"yes","disabled","male","non-black","married",18,"no","yes","private, profit",30,1,2,54,"no"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",38100,40,0,33,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","public",1100,10,0,64,"yes"
"no","not disabled","female","non-black","married",21,"no","no","private, profit",85000,36,0,39,"no"
"yes","disabled","male","non-black","never married",17,"no","yes","private, profit",25000,45,0,34,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","public",50000,40,1,49,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","private, non profit",300000,60,0,53,"no"
"yes","not disabled","female","non-black","married",20,"no","yes","public",28000,35,1,39,"yes"
"yes","not disabled","male","black","never married",14,"no","yes","private, profit",20000,30,0,60,"no"
"yes","not disabled","male","non-black","never married",18,"no","yes","public",170,15,NA,40,"no"
"yes","not disabled","male","non-black","Separated/divorced",18,"no","yes","public",55000,40,0,67,"no"
"yes","not disabled","male","non-black","never married",20,"no","yes","private, profit",6000,40,0,27,"no"
"no","not disabled","male","non-black","married",16,"no","no","private, profit",11000,20,0,67,"no"
"yes","not disabled","male","non-black","Separated/divorced",12,"no","yes","private, profit",75000,50,0,59,"no"
"yes","not disabled","male","black","never married",16,"no","yes","private, profit",25000,40,NA,31,"no"
"yes","not disabled","female","black","never married",21,"no","yes","private, profit",214000,40,0,53,"no"
"no","not disabled","male","non-black","married",24,"no","no","private, profit",26000,40,0,39,"no"
"yes","not disabled","female","non-black","Separated/divorced",18,"no","yes","private, non profit",5000,50,0,58,"no"
"yes","disabled","male","non-black","never married",13,"no","yes","private, profit",24000,40,0,57,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",215000,45,1,47,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","public",159000,40,0,65,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",30000,40,0,67,"yes"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",70000,26,2,38,"no"
"yes","not disabled","female","black","Separated/divorced",20,"no","yes","private, profit",65000,60,0,53,"yes"
"no","disabled","female","non-black","married",1,"no","no","private, profit",58000,40,0,47,"yes"
"yes","not disabled","female","black","Separated/divorced",18,"no","yes","private, profit",48000,48,3,41,"yes"
"yes","not disabled","male","black","never married",13,"no","no","public",33000,25,NA,48,"no"
"yes","disabled","male","non-black","never married",17,"no","yes","private, non profit",80,10,0,39,"no"
"yes","not disabled","female","non-black","never married",19,"no","no","private, profit",3000,8,0,29,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","private, profit",19000,15,0,64,"no"
"yes","not disabled","female","black","never married",21,"no","yes","private, profit",153000,40,0,34,"no"
"no","not disabled","male","non-black","married",22,"no","no","self_employed",150000,40,1,58,"no"
"no","disabled","female","non-black","never married",24,"no","no","private, profit",70000,40,0,27,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",58000,45,3,39,"no"
"yes","disabled","female","non-black","married",20,"no","yes","private, profit",6000,36,2,28,"no"
"no","not disabled","female","non-black","married",22,"no","no","public",50000,40,1,38,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",57000,40,5,35,"no"
"yes","disabled","male","non-black","married",24,"no","yes","private, profit",202000,50,0,64,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","private, profit",200000,40,2,46,"yes"
"yes","not disabled","female","black","never married",20,"no","yes","private, non profit",45000,40,0,25,"no"
"yes","disabled","male","non-black","married",10,"no","no","private, non profit",100,4,NA,49,"no"
"no","not disabled","female","non-black","married",21,"no","yes","private, non profit",82000,40,0,40,"yes"
"yes","not disabled","female","black","married",21,"no","yes","public",80000,40,0,64,"no"
"yes","not disabled","male","non-black","never married",22,"no","yes","private, profit",130000,35,0,32,"no"
"yes","disabled","female","non-black","married",22,"yes","yes","private, non profit",60000,30,2,30,"no"
"yes","not disabled","female","non-black","married",15,"no","yes","public",25000,40,2,50,"yes"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",30000,35,0,51,"no"
"yes","not disabled","female","non-black","never married",21,"no","no","private, non profit",50000,45,0,25,"no"
"yes","not disabled","male","non-black","never married",16,"no","yes","private, profit",56000,40,0,37,"no"
"yes","not disabled","male","non-black","married",19,"no","yes","private, profit",80000,45,1,45,"yes"
"no","not disabled","male","non-black","married",22,"no","no","private, profit",120000,40,0,29,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",192000,50,2,46,"no"
"yes","not disabled","female","non-black","Separated/divorced",18,"no","yes","private, profit",31200,40,0,34,"no"
"yes","not disabled","male","non-black","married",23,"no","no","public",75000,35,0,61,"no"
"yes","not disabled","female","non-black","Separated/divorced",21,"no","yes","private, non profit",55000,20,0,43,"yes"
"yes","not disabled","male","black","never married",16,"no","yes","private, profit",33000,40,0,34,"no"
"no","not disabled","male","non-black","married",1,"no","no","private, profit",27000,40,0,56,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","private, profit",30600,35,2,36,"no"
"yes","not disabled","male","non-black","married",22,"no","yes","private, profit",100000,50,0,56,"yes"
"no","not disabled","male","non-black","married",21,"no","no","public",98000,40,1,55,"no"
"yes","not disabled","male","non-black","married",16,"no","yes","private, profit",50000,40,1,46,"no"
"yes","not disabled","male","non-black","married",21,"no","yes","private, profit",95000,40,0,58,"yes"
"yes","not disabled","male","non-black","never married",21,"no","yes","self_employed",83000,40,0,31,"no"
"yes","not disabled","female","non-black","married",23,"no","yes","private, profit",220000,45,0,34,"no"
"yes","not disabled","female","non-black","never married",16,"no","yes","private, profit",48100,35,0,37,"yes"
"yes","not disabled","male","non-black","never married",21,"no","yes","private, profit",60000,40,0,33,"no"
"yes","not disabled","female","non-black","never married",19,"no","yes","private, profit",48000,40,0,40,"no"
"yes","not disabled","female","non-black","never married",22,"no","yes","private, profit",62000,40,0,31,"no"
"yes","not disabled","female","non-black","never married",21,"no","yes","public",94000,55,0,45,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",75000,42,0,52,"no"
"yes","not disabled","male","non-black","never married",18,"no","no","private, profit",40000,49,0,29,"no"
"yes","not disabled","female","non-black","married",22,"no","yes","public",36000,40,1,56,"no"
"yes","not disabled","male","non-black","married",18,"no","yes","public",73000,48,3,48,"no"
"yes","not disabled","female","non-black","married",19,"no","yes","private, profit",52000,40,0,25,"no"
"yes","not disabled","male","black","never married",16,"no","yes","self_employed",60000,40,0,47,"yes"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, non profit",55000,40,NA,47,"no"
"yes","not disabled","male","non-black","married",12,"no","yes","private, profit",38000,40,1,54,"no"
"yes","not disabled","female","non-black","married",21,"no","yes","private, profit",30000,24,0,60,"yes"
"yes","disabled","female","non-black","Separated/divorced",16,"no","yes","private, profit",40000,40,0,28,"no"
"no","disabled","male","non-black","married",22,"no","yes","private, profit",100000,30,0,62,"yes"
"yes","not disabled","female","non-black","married",18,"no","yes","private, non profit",24000,42,0,63,"yes"
"no","not disabled","female","non-black","married",21,"no","no","self_employed",13500,6,4,29,"yes"
"yes","not disabled","female","non-black","never married",21,"no","yes","private, non profit",70000,36,0,27,"no"
"no","disabled","female","black","never married",22,"no","no","private, non profit",30000,24,0,35,"no"
"yes","not disabled","male","black","never married",20,"no","yes","private, profit",25000,40,0,33,"no"
